,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,t,tungkangi,v,to *show s.t. to s.o.; to *demonstrate s.t. to s.o. ; to *explain to s.o.,Ia mutungkangi: langker benteng dadauluna. | She showed him the old fort. ; A: sakarang kutungkangi: kau. | So; now I'll explain to you.,,,,,tungkangi akang,,,,
,t,tungkangi,v,to *show s.o. s.t. at another's request,,,,,,batungkangi:,,,,
,t,tungkangi,vi,to be engaged in *showing s.t. to s.o.,,,,,,,,,,
,t,tuong,v,to *wrap up s.t. ; to *cover s.t.; to *envelop s.t.,asapa itu naik ka:ta mutuong kita| Its smoke rose up and enveloped us.,,,,,,,,,
,t,tuong,n,*package,,,,,,,,,,
,t,tuong,num con,*pack; counter for cigarettes,,,,,,tuongi,,,,
,t,tuong,v,to wrap s.t. for s.o.,,,,,,tuong akang,,,,
,t,tuong,v,to wrap s.t. at s.o.'s request,,,,,,batuong,,,,
,t,tuong,vi,to engage in packaging,,,,,,patuongi,,,,
,t,tuong,v,to thoroughly enclose s.t. in wrapping,,,,,,tuo-tuong,,,,
,t,tuong,n,*package; *bundle (of clothes),,,bobot tutuongang,,,,,,,
,t,tur,n,low *tide; *ebb~tide ; very low tide; typical of certain seasons,,,,,,,tur kering,,,
,t,turang,v,to *push s.t. down; to *take~apart s.t.,tadua taturang pandudukang itu| Let's the two of us push over that group's sitting,,,,,turangi,,,,
,t,turang,v,to push s.t. down on s.o. or s.t.,dinding ni muturangi aku de kapala| You pushed that wall down on to me; right onto,,,,,turang akang,,,,
,t,turang,v,to cause s.t. to *slide~down at s.o.'s request,,,,,,naturang,,,,
,t,turang,vi,to have slid down; to have *come~down,pasir naturang| the (dune of) sand has collapsed,,,,,,,,,
,t,turi,n,k.o. *tree; the *scarlet~*wisteria tree; [%*Sesbania~grandiflora|],,,,,plant,,,,,
,t,turumpt$1,n,k.o. musical instrument; the *trumpet,,,,,,,,,,
,t,turumpt$2,n,k.o. *fish; the *deep-sea~*flute-mouth; [%*Fistularia~villosa|],,,,,fish,,,,,
,t,turung,vi,to *descend ; to *conclude some elevated task (e.g. studying Quranic recital) and so return to the ; to leave from Friday prayers; to leave from worship in the mosque (i.e. to come down,,,,,,turungi,turung sambeang,,,
,t,turung,v,to *lower s.t.,,,,,,turung akang,,,,
,t,turung,v,to *lower s.t. at s.o.'s request,,,,,,baturung,,,,
,t,turung,vi,to send (s.o.) off; to *see~off <*send~off> ; to be engaged in lowering s.t.,pasi mubaturung panganting| They saw the bride and groom off.,,,,,babaturung,,,,
,t,turung,vi,to *set~forth in a bridal entourage,panganting tu tala babaturung| The groom set forth in a wedding parade,,,,,naturung,,,,
,t,turung,vi,to be sloping inappropriately (e.g. of a roof with too steep a pitch) <*slope> ; to have gone down unexpectedly,,,,,,panurungang,,,,
,t,turung,n,*ladder; notched log (for descending a river bank),,,,,,panu-panurungang,,,,
,t,turung,n,*steps or well-beaten *path leading downwards (e.g. to a river),,,,,,katurungang,,,,
,t,turung,n,line of *descent,,,,,,katu-katurungang,,,,
,t,turung,n,river*bank ; steep *incline leading downward; including *path or *stairway,,,,,,,,,,
,t,tutuk,v,to *pound,,,,,,tutuki,,,,
,t,tutuk,v,to pound s.t. for s.o.,,,,,,tutuk akang,,,,
,t,tutuk,v,to pound s.t. at s.o.'s request,,,,,,batutukang,,,,
,t,tutuk,vi,to *fight e.o.,pasi batutukang | They fight each other,,,,,natutuk,,,,
,t,tutuk,vi,to have *choked (on food) ; to be *pounded or *slammed (e.g.; to be *driven shoreward by heavy waves),pamuluna ilau yogo natutuk| The predator fish is there and the school of fish is about to,,,,,panutukang,,,,
,t,tutuk,n,*fist,,,,,,,,,,
,t,tutuongang,,,,,bobot tutuongang,,,,,,,
,t,tutup,vt,to put a *cover on s.t. ; *bung; *cover; or *plug of s.t.,,,,,,tutupi,tutupa,,,
,t,tutup,vt,to *close s.t. for s.o.,tutupi nawang | Close the door ; di buluta itutupi nang daung ap | At the top they close it with what kind of leaf?,,,,,tutupi akang,,,,
,t,tutup,v,to close s.t. at s.o.'s request,,,,,,tutup akang,,,,
,t,tutup,vt,to *close s.t. at s.o.'s request,,,,,,natutup,,,,
,t,tutup,vi,accidentally *closed,,,,,,tutu-tutup,,,,
,t,tutup,n,*cover; *lid,,,,,,,,,,
,t,tutusaji,n,k.o. semi-spherical food *cover of plaited and decorated palm leaves,,,,,,,,,,
,t,tutuyang,n,k.o. permanent side *porch or *gazebo without walls; the roof is usually thatch,,,,,,,,,,
,t,tuyut,,,,,batuyutang,,,,,,,
,u,uar,v,to *bring~down; to cause to *collapse; to *wreck (a house),,,,,,uari,,,,
,u,uar,vt,to *bring~down s.t. on s.o.,,,,,,uar akang,,,,
,u,uar,v,to bring s.t. down at s.o.'s request,,,,,,bauar,,,,
,u,uar,vi,to be engaged in dismantling <*dismantle> or tearing down ; to *clear a forest,supaya pasi mueti yang kita bauar kayuang| so that they know that we plan to clear,,,,,bauari akang,bauar kayuang,,,
,u,uar,vi,to be engaged in tearing s.t. down at another's request,,,,,,nauar,,,,
,u,uar,vi,*collapsed,,,,,,,,,,
,u,uas,v,to *wash s.t. (a plate),,,,,,uasi,,,,
,u,uas,v,to wash s.t. (crockery) for s.o.,,,,,,uas akang,,,,
,u,uas,v,to wash s.t. at s.o.'s request,,,,,,bauas,,,,
,u,uas,vi,to engage in dish-washing,,,,,,bauas-uas,,,,
,u,uas,vi,to engage in washing a large number of plates and glasses,,,,,,pauasang,,,,
,u,uas,n,*fingerbowl ; *water used to wash dishes <*dishwasher>,,,,,,,,,,
,u,uat,,,,,mauat,,,,,,,
,u,ubang,v,to strike s.o. with the hand; to *hit s.o.,,,,,,ubang akang,,,,
,u,ubang,v,to strike s.o. at s.o.'s request,,,,,,,,,,
,u,ubo,n,k.o. *bird; a blue and green *parrot; fam. *Psittacidae,,,,,bird,,,,,
,u,udang,n,*moon; ; lunar *eclipse ; *full~*moon ; bright; luminescent moon ; *full~moon ; *crescent moon; new moon ; *crescent moon; new moon ; *month ; the twelfth *month of the Islamic calendar; during which the rituals of the hajj are ; the ninth *month of the Islamic calendar; during which the fast is observed ; *next~month,,,julkaida ; julhija ; jumadil awal ; jumadil ahir ; muharam ; raja/p ; ramada/n ; saba/n ; sapar ; sawa/l,,nat phen ; nat phen ; nat phen ; nat phen,,udang makarau ; udang pakaciang ; udang purnama ; udang sabil ; udang sabit ; udang haji ; udang puasa ; udang kapota,,,
,u,udara,n,*airplane,,,kapal udara,,,,,,,
,u,uhi,n,k.o. *fish; the *black~*spinefoot; [%*Siganus~spinus|],,,,,fish,,,,,
,u,ui,n,k.o. *root crop; the *sweet~potato; [%*Ipomoea~batatas|],,,,,plant,,,,,
,u,ujang,n,*rain ; light *shower ; *drizzle; light *shower ; *sunshower,,,laulaka ujang,,nat phen ; nat phen ; nat phen,,ujang alu-alus ; ujang rente-rente ; ujang nang papadasa,,,
,u,ujung,n,*cape; *promontory; *headland ; *extremity; *point,,,peler ujunga,,geography,,,,,
,u,ukir,v,to *carve,,,,,,,,,,
,u,ukur,,,,,,,,ukuri,,,,
,u,ukur,v,to *measure s.o. or s.t.,,,,,,ukur akang,,,,
,u,ukur,v,to measure s.t. at s.o.'s request,,,,,,baukurang,,,,
,u,ukur,vi,to measure e.o.,puda nang juki baukurang si lebe ra: | Puda and Juki were measuring e.o. (to see) who was bigger,,,,,,,,,
,u,ulang,v,to *repeat (some behavior pattern),cece kau muulang dang mo kubobar kau | Don't do (that) again; otherwise I'll beat you,,,,,ulangi,,,,
,u,ulang,v,to repeat s.t. for s.o.,ulangi caritamu | repeat your story,,,,,ulang akang,,,,
,u,ulang,v,to repeat s.t. at s.o.'s request,,,,,,ulangi akang,,,,
,u,ulang,v,to repeat s.t. specific at another's request,,,,,,baulang,,,,
,u,ulang,vi,to be in the process of repeating,,,,,,mangulangi,,,,
,u,ulang,vi,to *review or *restudy s.t.,,,,,,paulang akang,,,,
,u,ulang,v,to cause or assist s.o. to repeat s.t.,ia keu mupaulang akang adina mangaji | She refused to help her brother review his,,,,,,,,,
,u,ulang-ulang$1,n,k.o. *savory *cake; made of glutinous rice steamed with fish; wrapped in banana,,,ulang ; lalampa,,,,,,,
,u,ulang-ulang$2,n,k.o. vegetable *dish of raw male banana flowers and cucumbers in a slightly sour,,,,,,,,,,
,u,ular,n,*snake; suborder *Serpentes or *Ophidia ; various k.o. poisonous *snakes; esp. *pit-viper|s; [%*Crotalinae~|sp.]; incl. the ; k.o. green tree *snake; probably [%*Dryophis~prasinus|] ; some k.o. *sea~*snake|s ; k.o. *snake; [%*Acrochordus~|sp.] ; k.o. *snake; perhaps the *banded~coral~snake; [%*Maticora~intestinalis|] ; k.o. *snake; *python ; k.o. *snake; k.o. *python ; k.o. small *snake ; a luminescent *excretion of snakes; believed to be the *lifeforce of a snake; perhaps a,,,komalo,,animal ; animal ; animal ; sea creature ; animal ; animal ; animal ; animal ; animal,,ular leper ; ular lidi ; ular buta ; ular mata buta ; ular minyak ; ular patola ; ular patola rong ; ular suligi ; ular komalona,,,
,u,ulat,n,*grub ; *caterpillar ; various k.o. *caterpillar|s with venomous setae; fam. *Limacodidae; incl. the ; *mosquito *larvae,,,,,insect ; insect ; insect,baulat,ulat babulu ; ulat tantung,,,
,u,ulat,vi,to be *wormy or full of larvae,,,,,,,,,,
,u,ulu,n,*hilt; *handle,bayaka uluna | machete hilt,,,,,baulu,,,,
,u,ulu,vi,to have a handle or hilt,bayaka habua tu baulu kayu molugotu| That machete has a hilt of %molugotu| wood,,,,,,,,,
,u,ulur,v,to *put (a boat) in water; to *launch,,,cunting naulur,,sailing,ulur akang,,,,
,u,ulur,v,to *lower s.t. (a boat) into the water at s.o.'s request,,,,,,baular,,,,
,u,ulur,vi,to be hanging low ; to be bent down (of a tree),,,,,,baulurang,,,,
,u,ulur,vi,to be bent very low (of branches with heavy fruiting),,,,,,,,,,
,u,umang,v,to *look for s.t. or s.o.,kuumang kau alengo| I was looking for you just now ; yogo bose map alengo ka lau umang nyjong sondor ke dapa| I wanted to paddle out to,,,,,baumang,,,,
,u,umang,vi,to be engaged in *search|ing,manusia yogo sopang baumang lao musi japang mueti| If s.o. wanted to go out to look,,,,,baumang-umang,,,,
,u,umang,vi,to constantly be *search|ing,soalnya aku ni ada baumang-baumang kintal mitu| The fact is I have been looking and,,,,,,,,,
,u,umat,n,*person; often used as a codeword,,,,,,,,,,
,u,umbuk,v,to *request ; to ask the hand of s.o.; to *propose~marriage to a woman's parents ; to ask for *forgiveness of s.o. from whom o. has stolen; to ask that the victim bear no ; to ask forgiveness <*apologize> ; to *utter s.t. respectfully as a supplicant ; to say or *utter a prayer <*pray> ; to say *thank you; esp. to s.o. of higher status,duga-dugana kami umbuk ambulung de abdl nang wahit| We will just ask for sago ; Mansia tala muumbuk anaka ia. | Someone has asked for the hand of his daughter in,,,,society,umbuki,umbuk hala/l ; umbuk maaf ; umbuk doa ; umbuk tarimakasi,,,
,u,umbuk,v,to request s.t. for s.o.,umbuki aku doit saribu de pa mus | Ask for a thousand rupiah for me from Mr. Mus.,,,,,umbuk akang,,,,
,u,umbuk,v,to ask for s.t. at s.o.'s request,,,,,,baumbuk,,,,
,u,umbuk,vi,to be characterized by requesting and *beg|ging,,,,,,paumbukang,,,,
,u,umbuk,n,the formal *proposal of marriage by the prospective groom's family; this includes,,,,,,,,,,
,u,umpak,vt,to *chase s.o. out; to *expel s.o.,,,,,,umpak akang,,,,
,u,umpak,v,to chase s.o. or s.t. out at s.o.'s request,,,,,,baumpak,,,,
,u,umpak,vi,to engage in chasing as a task,baumpak manuk | to work at chasing out chickens,,,,,,,,,
,u,umpalak,v,to drive s.o. away harshly <*expel>,,,,,,umpalak akang,,,,
,u,umpalak,v,to drive s.o. away at s.o.'s request,,,,,,,,,,
,u,umpamanya,conj,*for~example,,,mo: ; nya,Indonesian,,,,,,
,u,umpang,n,*bait,,,,,fishing,,,,,
,u,umur,n,*age ; *God-willing; if circumstances permit,Kau umurmu sabay? | How old are you? ; Umuku sapulu salapang taung. | I'm nineteen.,,,,,,umur tinggi-tinggi,,,
,u,undang,vt,"to *invite s.o. to a reception (often by delivering a written 
 invitation)",,,alap,,,,,,,
,u,unding,v,to *order or *command s.o.,,,,,,baunding,,,,
,u,unding,vi,to engage in ordering (as o.'s job; e.g. as a foreman) ; to be *bossy,,,,,,paundingang,,,,
,u,unding,n,a personal *servant,,,,Arch,,,,,,
,u,undur$1,vi,to go *backwards,,,,,,,,,,
,u,undur$2,n,k.o. conical *basket; made of sago leaf sheath used to carry sago pith,,,,,utensil ; sago,,,,,
,u,undur$3,n,k.o. *tree bearing edible *fruit,,,,,plant,,,,,
,u,undus,,,,,,,,undus akang,,,,
,u,undus,v,to *shove s.t. so it moves downward,,,,,,baundus,,,,
,u,undus,vi,to slide downward in a seated position; e.g. to sit on a plank and slide down a hill,,,,,,naundus,,,,
,u,undus,vi,to have *slid down (of trousers which are too loose and slip down),,,,,,,,,,
,u,untak,n,*brain,,,,,body,,,,,
,u,unti,n,the *filling of a cake,,,,,culinary,,,,,
,u,untuk,prep,*for,,,,,,,,,,
,u,untuk,conj,*for~the~purpose~of,,,,,,,,,,
,u,untuk,prep,*as~for; *with~regard~to,untuk puasa tu aku hawater mo| As far as fasting month is concerned; I am not worried.,,bo: ; fur,Indonesian,,,,,,
,u,untumajang,excl,What a stroke of *luck!,,,untung ; majang,,,,,,,
,u,untung,vi,to *win ; to derive a *profit,dadi itu kita untung| So; that way we profit,,,,,,,,,
,u,untung,n,profit,,,untumajang ; baruntung,,,,,,,
,u,unyjur,v,to *stretch out s.t. (o.'s legs),,,,,,unyjur akang,,,,
,u,unyjur,v,to assist s.o. in stretching (his or her legs); e.g. a baby or an infirm person,,,,,,baunyjur,,,,
,u,unyjur,vi,to be (seated) in a posture with stretched out legs,,,,,,,,,,
,u,upat,n,*tribute (to the sultan),,,,Arch,,,,,,
,u,uramati,n,the *deceased,,,urang ; mati-mati ; almarhu/m ; aruaha,,,,,,,
,u,urang,n,*person ; *parents ; *other (person); *someone~else,lakina urang| someone else's husband,,,,kinship,baurang,urang tutua,,,
,u,urang,vi,to contain an *embryo (of a chicken egg),,,,,,saurang,,,,
,u,urang,n,*by~oneself,,,sasaraurang ; sapaturang,,,,,,,
,u,urang punana,n,*owner,,,,,,,,,,
,u,uras,vt,to *strike s.o. with a rod; to *cane s.o.,,,,,,,,,,
,u,urat,n,*vein; *artery ; *suture (of a durian carpel),,,,,body,urati,,,,
,u,urat,v,to *cut slits or grooves into s.t.,,,,,,baurat,,,,
,u,urat,vi,to have bulging veins,,,,,,,,,,
,u,ure,vt,to *unfasten (o.'s hair bun),,,,,,ure akang,,,,
,u,ure,vt,to *unfasten a hair bun at s.o.'s request,,,,,,baure,,,,
,u,ure,vi,to let down o.'s hair,,,,,,naure,,,,
,u,ure,vi,*unfastened unintentionally and hanging down (of the hair),,,,,,,,,,
,u,uru,n,*hex; *hex~sign; esp. to deter or punish thefts; canonical hex signs are usually made ; a *hex~sign; often made of cloth; usually hung in the tree to be protected; although not ; a *hex~sign in which a hermit crab is tied and hung from the rafter of the model house; ; a *hex~sign in which a small piece of black coral is placed in the shell of the model ; a *hex~sign which causes extreme distension of the stomach ; a *hex~sign in which a piece of sago bread is buried below the model house; the thief ; a *hex; featuring the recitation of mantras over the item to be protected; if that item is ; a *hex~sign in which a few kernels of maize are placed in the shell of the model house;,,,foya ; kalaumang ; kal baha/r ; koco-koco ; lobong ; panycungut ; tanoga ; tirigu,,,urui,uru foya-foya ; uru kalaumang ; uru kal baha/r ; uru koco-koco ; uru lobong ; uru panycungut ; uru tirigu,,,
,u,uru,v,to put a hex~sign in a certain place,kuurui bungiku| I put a hex~sign on my langsat tree,,,,,urui akang,,,,
,u,uru,v,to put a hex~sign in a certain place at s.o.'s request,,,luli,,spiritual,,,,,
,u,urumb,vi,*crazy; *insane ; *zany,,,,,,,,,,
,u,urung,v,to *swarm around s.t. (of insects) ; to *crowd around s.t. or s.o. (of persons),,,,,,urungi,,,,
,u,urung,v,to *swarm on s.t.; to *crowd s.t.,,,,,,urung akang,,,,
,u,urung,v,to *crowd s.o. or s.t. at another's request,,,,,,,,,,
,u,urut,,,,,,,,uruti,,,,
,u,urut,v,to *massage s.o. or s.t.,,,,,,baurut,,,,
,u,urut,vi,to be engaged in massaging,,,,,,,,,,
,u,usa,vt,to *increase the intensity (of a flame); to *intensify (a fire) by fanning it; etc.,Usa api naik. |Stoke up that fire so it rises up.,,,,,nausa,,,,
,u,usa,vi,to have *flamed~up,,,,,,,,,,
,u,usaha,n,*endeavor; *effort,,,,,,,,,,
,u,usaha,v,to *attempt; to *try,,,,,,,,,,
,u,usi,,,,,,,,usi akang,,,,
,u,usi,v,to *follow (what s.o. says); to do (as s.o. says),,,,,,bausi,,,,
,u,usi,vi,to *follow (s.o.'s footsteps); to *come~along ; to *move *along some direction,tabujuk langker supaya ia bausi| We'll persuade him to come along. ; lao tu sipa bausi in de dodoku| Those fish surface along Dodoku.,,,,,,,,,
,u,usi,part,following from; *subsequent to (some event or action),,,,,,,,,,
,u,usir,v,to *chase s.o. or s.t. away,,,umpak,TM,,,,,,
,u,utang,,,,,pombo utang,,,,,,,
,u,utara,n,a *point of the compass; *north,,,,,,,,,,
,u,utur,n,k.o. *fish; a *trevally; perhaps the *bludger; [%*Carangoides~gymnostethus|],,,,,fish,,,,,
,u,uwuk-wuk,ideo,the sound made by an owl; the *hoot of an owl,,,,,,,,,,
,y,ya,part,*well; as it stands,,,,,,,,,,
,y,ya:,excl,*So!; *what~do~you~expect; exclamation of disparagement,,,,,,,,,,
,y,ya ala,excl,Good~gosh!,,,,a mild expression of surprise,,,,,,
,y,ya ilahi,excl,God!; an expression of disbelief or disapproval,,,,,,,,,,
,y,yabut,,,,,,,,yabut akang,,,,
,y,yabut,v,to *unravel s.t. (cloth; the weave),,,,,,nayabut,,,,
,y,yabut,vi,*unraveled,,,,,,nayabu-yabut,,,,
,y,yabut,vi,*unraveled and *frayed ; *exhausted; *frazzled,saliaku nayabu-yabut| My sarong's falling apart. ; meskena nayabu-yabut; musi ka lau hadiki| Although we're exhausted; we must head,,,,,,,,,
,y,yafo,v,very *slow; *poky,,,,,,,,,,
,y,yakis,,,,,bua yakis,,,,,,,
,y,yambu$1,n,*thread,,,,,,,,,,
,y,yambu$2,n,various k.o. *trees bearing edible *fruit; incl. the *Malay~apple;,,,,,plant,,,,,
,y,yambu-yambut,n,*sponge; phylum *Porifera ; k.o. *sponge; the *Mound-type~sponge ; k.o. *sponge; the *White~Ascidian,,,,,sea creature ; sea creature ; sea creature,,yambu-yambut karuaya ; yambu-yambut sasu/,,,
,y,yang,pn,*which,yang penting| that which is important ; lecak yang ada ianta| the earth which was on top,,,,,,,,,
,y,yang,conj,*that; *namely,,,,,,,,,,
,y,yapu,vt,to *grope for s.t. in the dark ; to sexually *molest or *assault s.o. by entering the house stealthily at night,ia muyapu anaka urang bini-bini. | He was indecent with somebody's daughter.,,,,,bayapu,,,,
,y,yapu,vi,to engage in *enter|ing others' houses in order to pursue *sex|ual adventures,,,,,,,,,,
,y,yarasulallah,excl,*For~heaven's~sake!; an exclamation of surprise or shock,,,,,,,,,,
,y,yasa,,,,,,,,bayasa,,,,
,y,yasa,vi,to have an offensive *taste ; to have a certain taste ; to have a certain *feel|ing ; to *hurt; to feel *pain,lao ini tala bayasa | This fish has a spoiled taste ; bayasa tuba | to taste bitter ; poruku bayasa jat| My stomach hurt. My stomach was bothering me.,,,,,payasa akang,bayasa jat,,,
,y,yasa,v,to taste s.t.,,,idap,,,,,,,
,y,yautang,n,k.o. *tree; similar to trees found in *mangrove|s,,,,,plant,,,,,
,y,yayng,n,k.o. *insect; the *fruit~fly; fam. *Drosophilidae,,,,,insect,,,,,
,y,yo,excl,*certainly,yo ipasusa manusia| Certainly they just made things difficult for people.,,,,,,,,,
,y,yo,part,*well,yo anu de lalaina tala mo| Well; are the whatchamacallits at the others' still not (ripe)? ; yo basalng kata de pasar lao mata-mata bolung i:| Well; as for the market there; there,,,,,,,,,
,y,yo:,part,*let's; *hey,Yo: balampo. | Let's go.,particle to urge action,,,,,,,,
,y,yobung,n,*bamboo~shoot,,,,,,,,,,
,y,yogo,part,*want~to; *intend~to; *about~to,yogo balumbar |want to go take a bath ; po waktuna yogo irabi ipareksa dang ilia mo ular indalang de kalero dalama| When o. intends to ignite the fire; he examines and sees that there are no snakes inside the heaped firewood.,aspect~marker indicating intentionality or a future activity,nyausu/,,,,,,,
,y,yoy,n,*dog; fam. *Canidae,,,,,animal,,,,,
,y,yuyuk,,,,,,,,yuyuki,,,,
,y,yuyuk,v,to *gargle out,balampo ka yuyuki sungut itu | Go gargle that mouth out,,,,,bayuyuk,,,,
,y,yuyuk,vi,to *gargle,,,,,,,,,,
,w,wa:,excl,*Oh!; exclamation of regret; longing or disagreement,,,,,,,,,,
,w,wafel,n,k.o. square *cake,,,,,food,,,,,
,w,waji,n,k.o. steamed *sweetmeat made of rice; glutinous rice and other ingredients,,,,,food,,,,,
,w,wakil,n,*representative; temporary *replacement,,,,Indonesian,,,,,,
,w,wakis,,,,,,,,wakis akang,,,,
,w,wakis,v,to *rip s.t.; to *tear s.t.,,,,,,nawakis,,,,
,w,wakis,vi,*torn,,,,,,,,,,
,w,waktu,n,*time; *era,,,,,,,,,,
,w,walanda,n,*Netherlands; *Dutch,,,,,,,,,,
,w,walawpung,conj,*although,,,,Indonesian,,,,,,
,w,walhasil,n,*result,,,,,,,,,,
,w,wali,n,*guardian; a category of relationship; defined by Islamic law; to represent o.'s parents ; a *representative acting on behalf of the sultan of Bacan,,,,Archaic,,,wali jou gugu,,,
